"year","Chicago","Detroit","Minneapolis.StPaul","Boston","New.York","Philadelphia","Atlanta","Baltimore","Dallas.FortWorth","Houston","Miami","DC","Los.Angeles","San.Francisco","San.Diego","Seattle","Average"
2011,249055372.66528,105201231.648989,87950719.8102761,153285664.600825,494199137.706851,127753287.180169,95454489.4630743,59890727.5350967,135985432.547529,113189314.394165,126106536.337396,158457564.558093,298549828.905605,136448527.010629,61843396.587596,76771221.2190518,145890732.480625
2012,282288547.260096,132872758.272615,89325552.8407435,191106300.611492,575815070.941237,163023885.440957,137084105.598569,74638822.1362454,160843104.34526,141115416.589879,148506551.019656,200446669.67222,368511697.337806,166886556.05985,81987353.0438403,107642828.8287,177770307.058774
2013,251537027.704342,110491784.93897,70550001.621709,163115433.869961,465427730.196203,154943037.138684,130502664.232378,54176160.6804431,123683729.906461,125760261.02782,119588565.731865,151050726.032705,323173491.16734,137194893.601994,73744705.2148631,92204857.7687281,149832062.990263
2014,224447058.36818,94604600.8976021,69986658.1036332,120964892.285024,447930254.172096,137138408.098925,111411641.307033,58712067.7989304,124809478.066672,121892097.288475,100907141.577362,126038799.015877,270170653.851448,112764641.331896,65245137.537967,84438508.6372615,133615414.019905
2015,287109700.057673,110950071.52018,107128761.159494,177112072.171685,586845343.274177,188326099.95802,135901673.957698,81355529.2857659,193837926.071877,164908102.024611,192262381.251796,165029550.982822,345985157.051169,144709007.506446,90059835.7078632,144139499.089762,183274159.474767
2016,274240976.330902,101346884.242788,105340908.142274,170321083.727653,484598989.800778,178862398.19764,104257514.240842,68944152.2315134,163072920.867786,163392137.171009,170305438.980475,166558508.539027,320709546.165268,133489396.9428,84629510.3135088,149433323.84741,167029628.808334
2017,244345467.897725,97942345.6704837,96933522.5361178,159023511.972612,482395538.770051,176385714.71592,97234218.9819002,75700221.8238436,129164668.955433,147754205.905839,148112660.326184,156031080.332398,306053243.959575,122340896.367966,80699354.931496,146673179.262852,156869990.141788
2018,247520373.352062,104585645.168526,95194074.3145984,176540374.237734,536204723.198857,180597124.133105,99749374.5389784,72238515.9906139,147195765.798133,135766146.706535,145505502.01773,174393243.019628,296007312.950214,135652245.818393,82524207.8586663,145741904.508093,163259796.094816
2019,172598085.708096,69411443.9672991,73583803.0076963,114665032.73512,399881939.569174,100551202.01744,78022945.7883686,52533591.2158343,104854268.955833,89774556.5432832,90462709.2776543,131815369.00616,187591771.569741,112919180.099426,58393148.7482572,85491675.0518706,113091219.015368
2020,248870800.759141,89346345.6773384,96865397.2374632,174141364.079786,618629705.173492,130143286.486146,140246488.180531,69107780.329911,108273353.446679,92911434.042785,138727171.118517,180403638.314958,277168415.253417,169099891.734123,93107139.174891,116667541.763386,161394691.339563
2021,197937118.367694,78820665.370278,75597243.8952262,153969347.594518,510956797.952239,130493374.803026,123181221.707512,57531200.1079395,80075785.3492349,80116060.8644557,131943975.001226,150807316.243736,252548663.62608,135833432.274303,72907443.9131694,101161640.217852,137287134.546382
2022,193890528.655705,92114196.4200482,84422171.6778735,139220280.396007,506402251.741724,136497983.817139,122639699.891509,66630322.9146155,102864539.083575,89916145.7183303,137097939.73339,136636938.700562,266320793.525209,158537162.713573,82021113.7107852,101640875.880496,142167820.269444
